kod,nazwa,aktualizacjaData,kodEPA,kodEVA,kodPOS,typ,wymianaAglomeracja,kodAglomeracji,biletMiejski
5021,Aleksandrów Kuj.,2026-05-25 04:00:02.625,5100001,5100339,21501,0,0,0,False
4021,Andrychów,2026-05-25 04:00:02.651,5100846,5100340,76273,0,0,0,False
1,Augustów,2026-05-25 04:00:02.638,5100783,5100089,12963,0,0,0,False
5023,Babiak,2026-05-25 04:00:02.651,5100364,5100351,19174,0,0,0,False
7022,Babimost,2026-05-25 04:00:02.651,5100709,5100492,26161,0,0,0,False
3026,Baranówka,2026-05-25 04:00:02.651,5101211,5100465,79335,0,0,0,False
4031,Będzin Miasto,2026-05-25 04:00:02.651,5100764,5100493,74633,0,0,0,False
3,Biała Podlaska,2026-05-25 04:00:02.651,5100003,5100086,40808,0,0,0,False
4,Białogard,2026-05-25 04:00:02.625,5100004,5100001,3905,0,0,0,False
6,Białystok,2026-05-25 04:00:02.651,5100005,5100002,24000,0,0,1,False
0,Białystok (dowolna stacja),2024-04-17 06:00:03.507,0,5196021,0,1,0,0,False
6623,Białystok Ziel.W,2026-05-25 04:00:02.676,5101183,5100583,279919,0,0,1,False
3035,Biecz,2026-05-25 04:00:02.651,5100707,5100436,81786,0,0,0,False
7,Bielsko-Biała Gł.,2026-05-25 04:00:02.651,5100006,5100316,76109,0,0,0,False
8,Bielsk Podlaski,2026-05-25 04:00:02.651,5101101,5100539,24430,0,0,0,False
2029,Biłgoraj,2026-05-25 04:00:02.625,5100828,5100438,66407,0,0,0,False
3037,Bobowa-Miasto,2026-05-25 04:00:02.663,5100995,5100509,81125,0,0,0,False
9,Bochnia,2026-05-25 04:00:02.663,5100029,5100227,79657,0,0,0,False
3039,Bogoniowice Ciężk,2026-05-25 04:00:02.638,5100589,5100393,81067,0,0,0,False
10,Bolesławiec,2026-05-25 04:00:02.663,5100010,5100079,53850,0,0,0,False
5052,Brodnica,2026-05-25 04:00:02.651,5100293,5100401,21204,0,0,0,False
11,Brzeg,2026-05-25 04:00:02.663,5100007,5100003,62109,0,0,0,False
12,Brzeg Dolny,2026-05-25 04:00:02.625,5100032,5100004,60269,0,0,0,False
3043,Brzesko Okocim,2026-05-25 04:00:02.651,5100786,5100671,79806,0,0,0,False
6067,Byczyna Kluczb.,2026-05-25 04:00:02.638,5100591,5100643,61341,0,0,0,False
0,Bydgoszcz (dowolna stacja),2024-04-17 06:00:03.507,0,5196024,0,1,0,0,False
14,Bydgoszcz Gł.,2026-05-25 04:00:02.676,5100008,5100005,18408,0,0,2,False
5075,Bydgoszcz Leśna,2026-05-25 04:00:02.651,5100153,5100647,18374,0,0,2,False
501,Bydgoszcz Wsch.,2026-05-25 04:00:02.638,5100432,5100648,16717,0,0,2,False
6070,Bystrzyca Kłodzka,2026-05-25 04:00:02.676,5100028,5100656,57414,0,0,0,False
15,Bytom,2026-05-25 04:00:02.638,5100009,5100006,72306,0,0,0,False
